Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
AJ Hosein,2022-2024,Melbourne Renegades,West Indies,110.9,Orthodox,1059,55*,15.57,0,224,5/11,25.41,1,47.0,0.0,-9.84
AJ Nair,2016-2022,Sydney Thunder,Sydney Thunder,118.4,Offbreak,251,45,20.91,0,23,3/12,27.08,0,9.0,0.0,-6.17
AJ Turner,2013-2025,Perth Scorchers,Australia,140.6,Offbreak,3860,84*,24.90,0,35,3/20,25.62,0,96.0,0.0,-0.72
AJ Tye,2014-2025,Perth Scorchers,Australia,128.1,Medium,741,44,12.77,0,342,5/17,21.33,3,87.0,0.0,-8.56
AK Heal,2011-2012,Melbourne Renegades,Melbourne Renegades,33.3,Orthodox,54,13,6.00,0,26,2/13,22.15,0,5.0,0.0,-16.15
AL Fekete,2015-2016,Brisbane Heat,Melbourne Renegades,25.0,Medium,,,,,,,,,,,
AL Fekete,2013-2020,Melbourne Renegades,Melbourne Renegades,25.0,Medium,,,,,,,,,,,
AM Hardie,2019-2025,Perth Scorchers,Australia,130.2,Medium,1516,90*,26.13,0,44,3/21,27.75,0,41.0,0.0,-1.61
AP Devcich,2019-2019,Sydney Thunder,New Zealand,142.1,Orthodox,,,,,,,,,,,
AR Beadle,2015-2015,Sydney Thunder,Sydney Thunder,100.0,Slow,7,7,7.00,0,1,1/39,61.00,0,0.0,0.0,-53.99
AR Keath,2013-2015,Melbourne Stars,Melbourne Stars,90.9,Medium,40,30,13.33,0,0,-,-,0,2.0,0.0,-
AT Carey,2017-2025,Adelaide Strikers,Australia,129.5,Medium,2466,101,28.02,2,-,-,-,-,79.0,17.0,-
AU Rashid,2015-2016,Adelaide Strikers,England,108.0,Legbreak,,,,,,,,,,,
AW O'Brien,2011-2012,Adelaide Strikers,Adelaide Strikers,95.3,Orthodox,,,,,,,,,,,
AW O'Brien,2012-2014,Melbourne Renegades,Adelaide Strikers,95.3,Orthodox,,,,,,,,,,,
AW Robinson,2011-2012,Brisbane Heat,Brisbane Heat,129.5,Medium,123,44,17.57,0,-,-,-,-,2.0,0.0,-
AW Summers,2017-2017,Hobart Hurricanes,Hobart Hurricanes,,Fast,-,-,-,-,0,-,-,0,1.0,0.0,-
Abdul Razzaq,2011-2012,Melbourne Renegades,Pakistan,119.8,Medium,,,,,,,,,,,
Ahmed Daniyal,2022-2022,Melbourne Stars,Pakistan,110.6,Medium,82,24,10.25,0,39,4/28,29.76,0,8.0,0.0,-19.51
Asif Ali,2022-2023,Hobart Hurricanes,Pakistan,141.9,Medium,,,,,,,,,,,
